Millis:59200, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59201, PWM:0.7, ADC:153, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59202, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:286811.59ohm, LUX:5.17
Millis:59203, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:255974.03ohm, LUX:4.87
Millis:59204, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59205, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59206, PWM:0.7, ADC:160, Voltage:0.12V, Resistance:264899.34ohm, LUX:5.61
Millis:59207, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:59208, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:59209, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:59210, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.91
Millis:59211, PWM:0.7, ADC:149, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.91
Millis:59212, PWM:0.7, ADC:149, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.45
Millis:59213, PWM:0.7, ADC:147, Voltage:0.11V, Resistance:264899.34ohm, LUX:4.91
Millis:59214, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:282571.44ohm, LUX:4.91
Millis:59215, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.40
Millis:59216, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:5.13
Millis:59217, PWM:0.7, ADC:150, Voltage:0.12V, Resistance:264899.34ohm, LUX:5.13
Millis:59218, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:288978.09ohm, LUX:4.91
Millis:59219, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:5.04
Millis:59220, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:288978.09ohm, LUX:5.13
